Released,Model,Family,Discontinued
11-Apr-76,Apple I,Apple I,30-Sep-77
1-Jun-77,Apple II,Apple II,1-May-79
1-Jun-78,Disk II,Drives,1-May-84
1-Jun-79,Apple II Plus,Apple II series,1-Dec-82
1-Jun-79,Apple II EuroPlus,,1-Dec-82
1-Jun-79,Apple II J-Plus,,1-Dec-82
1-Jun-79,Bell & Howell,,1-Dec-82
1-Jun-79,Bell & Howell Disk II,Drives,1-Dec-82
1-Jun-79,Apple SilenType,Printers,1-Oct-82
,,,
Released,Model,Family,Discontinued
1-Nov-80,Apple III,Apple III,1-Dec-81
1-Nov-80,Modem IIB (Novation CAT),Modems,1-Dec-81
1-Nov-80,Printer IIA (Centronics 779),Printers,1-Dec-81
1-Nov-80,Monitor III,Displays,October 1 1985
1-Nov-80,Monitor II (various third party),Displays,1-Dec-81
1-Nov-80,Disk III,Drives,1-May-84
1-Sep-81,Apple ProFile,Drives,1-Sep-86
1-Dec-81,Apple III Revised[1],Apple III,1-Dec-83
1-Oct-82,Apple Dot Matrix Printer,Printers,1-Dec-83
1-Oct-82,Apple Daisy Wheel Printer,Printers,1-Dec-83
1-Jan-83,Apple IIe,Apple II,1-Mar-85
19-Jan-83,Apple Lisa[2],68000,1-Jan-84
1-Dec-83,Apple III Plus,Apple III,24-Apr-84
1-Dec-83,Apple ImageWriter,ImageWriter,1-Dec-85
,,,
Released,Model,Family,Discontinued
1-Jan-84,Apple Lisa 2,68000,1-Aug-86
24-Jan-84,Macintosh (128K),Compact,10-Sep-84
,Macintosh External Disk Drive (400K),Drives,1-Jan-86
,"Apple Modem 300, 1984",Modems,[?]
,"Apple Modem 1200, 1984",Modems,[?]
1-Apr-84,Apple IIc,Apple II,1-Aug-88
,Apple Scribe Printer,Printers,1-Dec-85
,Apple Mouse IIc,Pointing devices,1-Dec-85
,Disk IIc,Drives,[?]
1-May-84,DuoDisk,Drives,[?]
"June, 1984",Apple 410 Color Plotter,Printers,[?]
,Apple ImageWriter Wide Carriage,Printers,[?]
10-Sep-84,Macintosh 512K,Compact,14-Apr-86
,Macintosh 128K (revised),Compact,1-Oct-85
Dec-84,AppleColor 100,Displays,[?]
,,,
Released,Model,Family,Discontinued
1-Jan-85,Macintosh XL,68000,1-Apr-85
,Apple LaserWriter,Printers,1-Dec-85
,Apple LocalTalk Connector,Networking,[?]
1-Mar-85,Apple IIe Enhanced,Apple II,1-Jan-87
1-Apr-85,Apple Personal Modem,Modems,[?]
,Apple ImageWriter II,Printers,1996
Jun-85,Apple UniDisk,Drives,1-Sep-86
1-Sep-85,Macintosh Hard Disk 20,Drives,[?]
,Apple UniDisk 3.5,Drives,1-Jan-87
,Apple ColorMonitor IIe,Displays,[?]
,Apple ColorMonitor IIc,Displays,[?]
,,,
Released,Model,Family,Discontinued
16-Jan-86,Macintosh Plus,Compact,15-Oct-90
,Macintosh 800K External Drive,Drives,[?]
,Apple LaserWriter Plus,Printers,[?]
14-Apr-86,Macintosh 512Ke,Compact,1-Oct-87
15-Sep-86,Apple IIGS,Apple II,1-Dec-92
,Apple IIc Memory Expansion,Apple II,1-Sep-88
,Apple Hard Disk 20SC,Drives,[?]
,Apple 3.5 Drive,Drives,[?]
,Apple 5.25 Drive,Drives,[?]
,AppleColor RGB Monitor,Displays,[?]
,Apple Monochrome Monitor,Displays,[?]
,AppleColor Composite Monitor,Displays,[?]
,,,
Released,Model,Family,Discontinued
1-Jan-87,Macintosh Plus (Platinum),Compact,15-Oct-90
,Apple IIe Platinum,Apple II,1-Nov-93
2-Mar-87,Macintosh SE,Compact,1-Aug-89
,Macintosh II,Mac II,15-Jan-90
,AppleColor High-Resolution RGB Monitor,Displays,Dec-92
"August, 1987",ImageWriter LQ,Printers,Dec-90
,AppleFax Modem,Modems,[?]
,"Apple PC 5.25"" Drive",Drives,[?]
,Apple Tape Backup 40SC,Drives,[?]
,,,
Released,Model,Family,Discontinued
1-Jan-88,"LaserWriter II SC, II NT, II NTX",Printers,[?]
Mar-88,AppleCD SC,Drives,[?]
Aug-88,Apple Scanner,Scanner,[?]
1-Sep-88,Apple IIc Plus,Apple II,1-Sep-90
19-Sep-88,Macintosh IIx,Mac II,15-Oct-90
,,,
Released,Model,Family,Discontinued
19-Jan-89,Macintosh SE/30,Compact,21-Oct-91
7-Mar-89,Macintosh IIcx,Mac II,11-Mar-91
,Apple Two Page Monochrome Monitor,Displays,19-Oct-92
,Apple Macintosh Portrait Display,Displays,19-Oct-92
,Apple High-Resolution Monochrome Display,Displays,1-Feb-91
Jul-89,Apple Modem 2400,Modems,Dec-92
1-Aug-89,Macintosh SE FDHD,Compact,15-Oct-90
,Apple FDHD SuperDrive,Drives,[?]
20-Sep-89,Macintosh IIci,Mac II,20-Feb-93
,Macintosh Portable,Portable,11-Feb-91
1-Oct-89,"Apple IIGS (1 MB, ROM 3)[3]",Apple II,1-Dec-92
,,,
Released,Model,Family,Discontinued
19-Mar-90,Macintosh IIfx,Mac II,15-Apr-92
1-Jun-90,Personal LaserWriter SC,LaserWriter,1-Sep-93
15-Oct-90,Macintosh LC,Macintosh LC,23-Mar-92
,Macintosh Classic,Compact,14-Sep-92
,Macintosh IIsi,Mac II,15-Mar-93
,,,
Released,Model,Family,Discontinued
11-Feb-91,Macintosh Portable (backlit screen),Portable,21-Oct-91
,,,
,,,
1-Mar-91,Apple IIe Card,Apple II series,1-May-95
,Personal LaserWriter LS,LaserWriter,1-May-93
,StyleWriter,StyleWriter,1-Jan-93
1-Jul-91,Personal LaserWriter NT,LaserWriter,[?]
1-Oct-91,LaserWriter IIf,,1-May-93
,LaserWriter IIg,,1-Oct-93
21-Oct-91,Macintosh Classic II,Compact,13-Sep-93
,Macintosh Quadra 700,Quadra,15-Mar-93
,Macintosh Quadra 900,,18-May-92
,PowerBook 100,PowerBook 100,3-Aug-92
,PowerBook 140,,3-Aug-92
,PowerBook 170,,19-Oct-92
,,,
Released,Model,Family,Discontinued
1-Mar-92,Personal LaserWriter NTR,LaserWriter,1-Sep-93
23-Mar-92,Macintosh LC II,Macintosh LC,15-Mar-93
18-May-92,Macintosh Quadra 950,Quadra,14-Oct-95
3-Aug-92,PowerBook 145,PowerBook 100,7-Jul-93
14-Sep-92,Apple Performa Plus Display,Display,18-Jul-94
19-Oct-92,Macintosh IIvi,Mac II,10-Feb-93
,Macintosh IIvx,Mac II,10-Oct-93
,PowerBook 160,PowerBook 100,16-Aug-93
,PowerBook 180,PowerBook 100,16-May-94
,PowerBook Duo 210,PowerBook Duo,21-Oct-93
,PowerBook Duo 230,PowerBook Duo,27-Jul-94
,Powerbook Duo Dock,PowerBook Duo,27-Jul-94
,,,
Released,Model,Family,Discontinued
1-Jan-93,StyleWriter II,StyleWriter,17-Apr-95
,Apple Color Printer,StyleWriter,1-Feb-94
,LaserWriter Pro 600,LaserWriter,1-Oct-93
,LaserWriter Pro 630,LaserWriter,1-Sep-94
10-Feb-93,Macintosh LC III,Macintosh LC,14-Feb-94
,Macintosh Color Classic,Compact,16-May-94
,Macintosh Centris/Quadra 610,Centris,21-Oct-93
